than kinh	thần kinh	2275	2
chua benh	chữa bệnh	1690	2
bai thuoc	bài thuốc	1444	2
lam thuoc	làm thuốc	1433	2
trieu chung	triệu chứng	659	2
tieu hoa	tiêu hóa	654	2
dieu hoa	điều hòa	553	2
chung benh	chứng bệnh	543	2
lieu lam thuoc	liệu làm thuốc	520	3
chay mau	chảy máu	509	2
dieu chinh	điều chỉnh	506	2
bi benh	bị bệnh	491	2
loi tieu	lợi tiểu	483	2
cam giac	cảm giác	461	2
thuoc chua	thuốc chữa	450	2
cua thuoc	của thuốc	424	2
nuoc tieu	nước tiểu	412	2
day than	dây thần	408	2
day than kinh	dây thần kinh	408	3
dang thuoc	dạng thuốc	401	2
phong thap	phong thấp	385	2
thap nhiet	thấp nhiệt	384	2
thay thuoc	thầy thuốc	382	2
tinh mach	tĩnh mạch	381	2
cam thay	cảm thấy	376	2
cua benh	của bệnh	364	2
phan bo	phân bố	358	2
tinh than	tinh thần	357	2
kinh nghiem	kinh nghiệm	352	2
phe quan	phế quản	350	2
benh ly	bệnh lý	347	2
thuoc sac	thuốc sắc	346	2
cay thuoc	cây thuốc	345	2
loai thuoc	loại thuốc	345	2
dieu kien	điều kiện	344	2
chua chung	chữa chứng	342	2
hoat tinh	hoạt tính	342	2
sot ret	sốt rét	342	2
dang thuoc sac	dạng thuốc sắc	332	3
ia chay	ỉa chảy	332	2
kinh nguyet	kinh nguyệt	318	2
tim mach	tim mạch	306	2
kinh lac	kinh lạc	297	2
thuoc bo	thuốc bổ	294	2
giao cam	giao cảm	290	2
mach mau	mạch máu	290	2
sot cao	sốt cao	286	2
benh vien	bệnh viện	280	2
bien chung	biến chứng	275	2
hoang cam	hoàng cầm	270	2
huyet tuong	huyết tương	267	2
thanh phan hoa	thành phần hóa	264	3
that lung	thắt lưng	259	2
xuat huyet	xuất huyết	252	2
chong viem	chống viêm	249	2
phuong thuoc	phương thuốc	249	2
benh cua	bệnh của	244	2
viem gan	viêm gan	244	2
nhiet giai	nhiệt giải	242	2
hoat chat	hoạt chất	238	2
thuoc chong	thuốc chống	231	2
giai bai	giải bài	228	2
giai phong	giải phóng	228	2
giai bai thuoc	giải bài thuốc	226	3
tang huyet	tăng huyết	225	2
benh tat	bệnh tật	224	2
chua ho	chữa ho	220	2
kinh mach	kinh mạch	219	2
uong thuoc	uống thuốc	219	2
nhiet giai doc	nhiệt giải độc	218	3
thanh nhiet giai	thanh nhiệt giải	217	3
bao gom	bao gồm	211	2
ngo doc	ngộ độc	210	2
bam huyet	bấm huyệt	208	2
gay benh	gây bệnh	208	2
phap dieu	pháp điều	205	2
phu thuoc	phụ thuộc	203	2
benh cao	bệnh cao	199	2
giai bieu	giải biểu	196	2
ha huyet	hạ huyết	196	2
lay huyet	lấy huyệt	194	2
ngoai cam	ngoại cảm	189	2
thap khop	thấp khớp	189	2
nhiem doc	nhiễm độc	185	2
tieu cau	tiểu cầu	185	2
tieu truong	tiểu trường	185	2
chung cua	chứng của	184	2
nhiet doi	nhiệt đới	184	2
dai tao	đại táo	184	2
phat sot	phát sốt	183	2
chung to	chứng tỏ	178	2
phong benh	phòng bệnh	178	2
thuoc khac	thuốc khác	177	2
bai thuoc chua	bài thuốc chữa	176	3
benh tieu	bệnh tiểu	176	2
gan phu	gân phụ	175	2
kinh nguyet khong	kinh nguyệt không	173	3
nguyet khong	nguyệt không	173	2
han nhiet	hàn nhiệt	172	2
huyet hu	huyết hư	171	2
hu han	hư hàn	171	2
doc tinh	độc tính	169	2
loai benh	loại bệnh	168	2
kinh cam	kinh cẩm	167	2
nguyet khong deu	nguyệt không đều	167	3
thuoc khang	thuốc kháng	166	2
than am	thận âm	166	2
song lung	sống lưng	165	2
bo sung	bổ sung	164	2
ha nhiet	hạ nhiệt	161	2
tho huyet	thổ huyết	161	2
viem phe	viêm phế	161	2
an khong	ăn không	159	2
gan than	gan thận	158	2
benh tim	bệnh tim	157	2
gian mach	giãn mạch	157	2
han thap	hàn thấp	156	2
he than	hệ thần	156	2
chua chung benh	chữa chứng bệnh	155	3
