dieu tri	điều trị	2413
than kinh	thần kinh	2275
chua benh	chữa bệnh	1690
bai thuoc	bài thuốc	1444
lam thuoc	làm thuốc	1433
phan ung	phản ứng	1321
chu tri	chủ trị	1286
benh nhan	bệnh nhân	1253
huyet ap	huyết áp	1155
vi tri	vị trí	1108
mo hoi	mồ hôi	1044
ap huyet	áp huyết	940
vi thuoc	vị thuốc	918
dung thuoc	dùng thuốc	835
co vi	có vị	805
dau bung	đau bụng	805
tinh vi	tính vị	700
nguoi benh	người bệnh	662
trieu chung	triệu chứng	659
giam dau	giảm đau	638
hoat dong	hoạt động	630
vi tac	vị tác	588
vi tac dung	vị tác dụng	588
thuoc co	thuốc có	566
chung benh	chứng bệnh	543
tinh vi tac	tính vị tác	541
tri benh	trị bệnh	540
vi ngot	vị ngọt	529
lieu lam thuoc	liệu làm thuốc	520
tinh dau	tinh dầu	516
dieu chinh	điều chỉnh	506
loi tieu	lợi tiểu	483
vi khuan	vi khuẩn	482
ty vi	tỳ vị	476
cam giac	cảm giác	461
dau nhuc	đau nhức	459
di ung	dị ứng	454
thuoc chua	thuốc chữa	450
duong kinh	đường kinh	439
ung dung	ứng dụng	425
tri dau	trị đau	422
dung lam thuoc	dùng làm thuốc	412
nuoc tieu	nước tiểu	412
day than	dây thần	408
day than kinh	dây thần kinh	408
dung tri	dùng trị	395
nhuc dau	nhức đầu	392
chan tri	chẩn trị	390
tieu tien	tiểu tiện	389
phong thap	phong thấp	385
thap nhiet	thấp nhiệt	384
thay thuoc	thầy thuốc	382
tinh mach	tĩnh mạch	381
cam thay	cảm thấy	376
co benh	có bệnh	372
dong mach	động mạch	371
cao ap	cao áp	363
tieu duong	tiểu đường	360
phan bo	phân bố	358
tinh than	tinh thần	357
kinh nghiem	kinh nghiệm	352
tri dong	trị đông	352
chan tri dong	chẩn trị đông	351
nang chan tri	nang chẩn trị	350
phe quan	phế quản	350
benh ly	bệnh lý	347
thuoc sac	thuốc sắc	346
cay thuoc	cây thuốc	345
loai thuoc	loại thuốc	345
dieu kien	điều kiện	344
chua chung	chữa chứng	342
hoat tinh	hoạt tính	342
sot ret	sốt rét	342
bat dau	bắt đầu	337
cao ap huyet	cao áp huyết	332
ia chay	ỉa chảy	332
tam tieu	tam tiêu	327
kinh nguyet	kinh nguyệt	318
tuong ung	tương ứng	316
tim mach	tim mạch	306
kinh lac	kinh lạc	297
thon chu tri	thốn chủ trị	295
thuoc bo	thuốc bổ	294
giao cam	giao cảm	290
sot cao	sốt cao	286
dau lung	đau lưng	285
co vi ngot	có vị ngọt	283
bien chung	biến chứng	275
hoang cam	hoàng cầm	270
thuong han	thương hàn	270
huyet tuong	huyết tương	267
tri lieu	trị liệu	264
huyet vi	huyệt vị	263
benh co	bệnh có	262
that lung	thắt lưng	259
phuc hoi	phục hồi	256
xuat huyet	xuất huyết	252
dung thanh	dụng thanh	251
chong viem	chống viêm	249
phuong thuoc	phương thuốc	249
sung dau	sưng đau	245
viem gan	viêm gan	244
dau than	đau thần	243
dau than kinh	đau thần kinh	243
nhiet giai	nhiệt giải	242
hoat chat	hoạt chất	238
ap cao	áp cao	237
dung dieu	dụng điều	236
tam than	tâm thần	236
huyet ap cao	huyết áp cao	232
thuoc chong	thuốc chống	231
giai bai	giải bài	228
giai phong	giải phóng	228
giai bai thuoc	giải bài thuốc	226
tang huyet	tăng huyết	225
benh tat	bệnh tật	224
con dau	cơn đau	223
chua ho	chữa ho	220
vi cay	vị cay	220
kinh mach	kinh mạch	219
uong thuoc	uống thuốc	219
nhiet giai doc	nhiệt giải độc	218
thanh nhiet giai	thanh nhiệt giải	217
chuong thuoc	chương thuốc	216
thuc tri	thức trị	215
chua dau	chữa đau	214
cong thuc tri	công thức trị	213
dau ngon	đầu ngón	213
dung chua benh	dụng chữa bệnh	211
ngo doc	ngộ độc	210
bam huyet	bấm huyệt	208
gay benh	gây bệnh	208
huyet tren	huyệt trên	205
phap dieu	pháp điều	205
thuoc tri	thuốc trị	202
tac dung thanh	tác dụng thanh	201
benh cao	bệnh cao	199
vi tren	vị trên	198
giai bieu	giải biểu	196
chu tri dau	chủ trị đau	195
dau goi	đầu gối	194
lay huyet	lấy huyệt	194
tren duong kinh	trên đường kinh	193
dung dieu tri	dụng điều trị	192
than kinh trung	thần kinh trung	191
tri viem	trị viêm	191
ngoai cam	ngoại cảm	189
thap khop	thấp khớp	189
kinh trung uong	kinh trung ương	187
nhiem doc	nhiễm độc	185
tieu cau	tiểu cầu	185
tieu truong	tiểu trường	185
dai tao	đại táo	184
nhiet doi	nhiệt đới	184
chua tri	chữa trị	183
duong huyet	đường huyết	183
phat sot	phát sốt	183
phap dieu tri	pháp điều trị	181
co hoat	có hoạt	180
chung to	chứng tỏ	178
dung bo	dụng bổ	178
gia tri	giá trị	178
phong benh	phòng bệnh	178
dau khop	đau khớp	177
kinh tam	kinh tâm	177
thuoc khac	thuốc khác	177
bai thuoc chua	bài thuốc chữa	176
benh tieu	bệnh tiểu	176
don vi	đơn vị	176
dau rang	đau răng	174
dung thanh nhiet	dụng thanh nhiệt	173
duong tieu	đường tiêu	173
kinh nguyet khong	kinh nguyệt không	173
nguyet khong	nguyệt không	173
han nhiet	hàn nhiệt	172
hu han	hư hàn	171
huyet hu	huyết hư	171
than duong	thận dương	171
doc tinh	độc tính	169
huyet vi tren	huyệt vị trên	169
loai benh	loại bệnh	168
vi tren duong	vị trên đường	168
duong kinh cam	đường kinh cẩm	167
kinh cam	kinh cẩm	167
kinh cam nang	kinh cẩm nang	167
nguyet khong deu	nguyệt không đều	167
than am	thận âm	166
thuoc khang	thuốc kháng	166
benh tieu duong	bệnh tiểu đường	165
ngu vi	ngũ vị	165
song lung	sống lưng	165
bo sung	bổ sung	164
dong kinh	động kinh	161
tho huyet	thổ huyết	161
viem phe	viêm phế	161
dau tien	đầu tiên	160
an khong	ăn không	159
co hoat tinh	có hoạt tính	159
chung dau	chứng đau	158
gan than	gan thận	158
benh tim	bệnh tim	157
dung vi	dụng vị	157
gian mach	giãn mạch	157
han thap	hàn thấp	156
he than	hệ thần	156
chua chung benh	chữa chứng bệnh	155
he than kinh	hệ thần kinh	155
khong tieu	không tiêu	155
vi ngot tinh	vị ngọt tính	155
viem phe quan	viêm phế quản	155
nhom thuoc	nhóm thuốc	154
tac dung vi	tác dụng vị	154
benh cao ap	bệnh cao áp	153
chua viem	chữa viêm	153
viem ruot	viêm ruột	152
dau ngon tay	đầu ngón tay	151
kinh gioi	kinh giới	151
trang benh	trạng bệnh	151
luong huyet	lương huyết	150
tieu chuan	tiêu chuẩn	150
tinh trang benh	tình trạng bệnh	147
ap dung dieu	áp dụng điều	145
khong dung thuoc	không dùng thuốc	145
tac dung bo	tác dụng bổ	143
nhuoc than kinh	nhược thần kinh	142
suy nhuoc than	suy nhược thần	142
dieu tri benh	điều trị bệnh	141
nhu dong ruot	nhu động ruột	133
phut chu tri	phút chủ trị	131
vi quy kinh	vị quy kinh	129
tinh vi quy	tính vị quy	128
chua tinh dau	chứa tinh dầu	126
co cam giac	có cảm giác	124
bai thuoc co	bài thuốc có	122
trinh dieu tri	trình điều trị	122
ty vi hu	tỳ vị hư	121
dieu tri khong	điều trị không	119
dau day than	đau dây thần	118
thuoc co the	thuốc có thể	118
mo hoi trom	mồ hôi trộm	115
cach lay huyet	cách lấy huyệt	114
tiem tinh mach	tiêm tĩnh mạch	113
